n	url	http	note
S1	https://raw.githubusercontent.com/dominicroye/obesity/master/share-of-adults-defined-as-obese.csv	200	доступен напрямую (curl)
S2	https://raw.githubusercontent.com/banerjeemdx/Data-Visualisation-with-Tableau---NCD_RisC-dataset-on-BMI-Body-M	200	доступен напрямую (curl)
S3	https://raw.githubusercontent.com/banerjeemdx/Data-Visualisation-with-Tableau---NCD_RisC-dataset-on-BMI-Body-M	200	доступен напрямую (curl)
S4	https://raw.githubusercontent.com/datasets/population/075cd0da5b7268daa466c84b3b2ff109bf3aea7e/data/population	200	доступен напрямую (curl)
S5	https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S6	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2025_rev1.pdf	200	доступен напрямую (curl)
S7	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2023_Report.pdf	200	доступен напрямую (curl)
S8	https://s3-eu-west-1.amazonaws.com/wof-files/World_Obesity_Atlas_2022.pdf	200	доступен напрямую (curl)
S9	https://s3-eu-west-1.amazonaws.com/wof-files/WOF_Obesity_Atlas_2024.pdf	200	доступен напрямую (curl)
S10	https://international-diabetes-federation.s3.eu-west-1.amazonaws.com/media/uploads/sites/3/2025/10/IDF_Diabete	200	доступен напрямую (curl)
S11	https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S12	https://pmc.ncbi.nlm.nih.gov/articles/PMC8606788/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S13	https://pubmed.ncbi.nlm.nih.gov/41839719/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S14	https://www.cdc.gov/nchs/data/hestat/obesity-adult-17-18/obesity-adult.htm	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S15	https://www.cdc.gov/nchs/products/databriefs/db508.htm	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S16	https://pmc.ncbi.nlm.nih.gov/articles/PMC5081106/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S17	https://www.ncbi.nlm.nih.gov/books/NBK582202/table/appendices.tu3/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S18	https://www.ncbi.nlm.nih.gov/books/n/idfatlas10e/appendices.s1/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S19	https://pmc.ncbi.nlm.nih.gov/articles/PMC11057359/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S20	https://www.ncbi.nlm.nih.gov/books/NBK581940/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S21	https://pmc.ncbi.nlm.nih.gov/articles/PMC7616842/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S22	https://www.who.int/news/item/13-11-2024-urgent-action-needed-as-global-diabetes-cases-increase-four-fold-over	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S23	https://pmc.ncbi.nlm.nih.gov/articles/PMC9684960/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S24	https://pmc.ncbi.nlm.nih.gov/articles/PMC9515107/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S25	https://pubmed.ncbi.nlm.nih.gov/12714863/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S26	https://pubmed.ncbi.nlm.nih.gov/25005850/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S27	https://pmc.ncbi.nlm.nih.gov/articles/PMC6233908/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S28	https://pubmed.ncbi.nlm.nih.gov/30056190/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S29	https://pmc.ncbi.nlm.nih.gov/articles/PMC8212402/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S30	https://pubmed.ncbi.nlm.nih.gov/27108148/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S31	https://pubmed.ncbi.nlm.nih.gov/15339127/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S32	https://pubmed.ncbi.nlm.nih.gov/18557451/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
S33	https://pubmed.ncbi.nlm.nih.gov/8208193/	000	заблокирован egress-политикой, проверяется только через поисковый индекс
