TOPIC-id,SDG,TOPIC,Keywords,ER
SDGt001,1,SDG 1,"Extreme poverty, Poverty, Poverty reduction, Poverty threshold, Poverty Reduction Strategies, Microfinance, Microcredit, Small business, Child labour, Child Labor Law, Child Support Grant, Child Welfare, Child Labor Regulation, Social protection, Social safety net, Welfare, Welfare spending, Social Exclusion, Financial inclusion, Conditional Cash Transfer, Poverty Alleviation, Economic Resource AND Access, Inclusive Growth, Third World, Low Income, Low Income Population, Third World, Development Assistance Committee, Development Aid, Official Development Assistance, International Development, Human Development Index, Economic inequality, Income inequality metrics, Multidimensional Poverty Index, Cost of poverty, Social insurance, Social inequality, Poverty reduction, Poverty Line, Gini index, Universal Basic Income, Global Poverty Line, Sustainable Development Goal 1", 132a0b27-3a0d-4cfc-ae1a-a3bf391b4f48
SDGt002,1,Extreme Poverty,"Poverty, Poverty reduction, Poverty threshold, Extreme poverty, Poverty Reduction Strategies",
SDGt003,1,Microfinance,"Microfinance, Microcredit, Small business",
SDGt004,1,Child Labour,"Child labour, Child Labor Law, Child Support Grant, Child Welfare, Child Labor Regulations",
SDGt005,1,Social Protection,"Social protection, Social safety net, Welfare, Welfare spending, Social Exclusion",
SDGt006,1,Financial Inclusion,"Financial inclusion, Conditional Cash Transfer, Poverty Alleviation, Economic Resource AND Access, Inclusive Growth",
SDGt007,1,Vulnerable Population,"Third World, Low Income, Low Income Population, Vulnerable adult",
SDGt008,1,Development Aid,"Third World, Development Assistance Committee, Development Aid, Official Development Assistance, International Development, Human Development Index",
SDGt009,1,Multidimensional Poverty,"Economic inequality, Income inequality metrics, Multidimensional Poverty Index, Rural poverty, Energy poverty, Culture of poverty",
SDGt010,1,Cost of Poverty,"Cost of poverty, Social insurance, Social inequality, Poverty reduction", 
SDGt011,1,Poverty Line,"Poverty Line, Poverty threshold, Gini index, Universal Basic Income, Global Poverty Line",
SDGt012,2,SDG 2,"Food Bank, Food security, Famine,  Global Food Security Index, Doha Development Round, Food policy, Malnutrition,  nutrients AND deficiency, Underweight, Food desert, Land law, Agricultural productivity, Agroforestry, Biofertilizer, Crop diversity, Sustainable agriculture",d5a40d4-ec5f-4142-957f-aa95c0374f6e
SDGt013,2,Food Security,"Food Bank, Food security, Famine, Global Food Security Index, Doha Development Round, Food policy",
SDGt014,2,Malnutrition,"Malnutrition, nutrients AND deficiency, Underweight, Food desert",
SDGt015,2,Agricultural Productivity,"Land law, Agricultural productivity, Agroforestry",
SDGt016,2,Sustainable Farming,"Biofertilizer, Crop diversity, Sustainable agriculture, Agroecology", 
SDGt017,2,Food policy,"Agricultural value chain, Agribusiness, Bioeconomy, Food policy",
SDGt018,2,Rural Development,"Land law, Agricultural Land Reserve, Agricultural economics, Indigenous land rights",
SDGt019,2,Smallholder Farmers,"Agricultural Orientation index, Smallholding, World Food Programme", 
SDGt020,2,Food Systems,"Food system, Food industry, Food Standards Agency, foodborne illness, Food technology", 
SDGt021,2,Zero Hunger,"Hunger, Universal Declaration on the Eradication of Hunger and Malnutrition, Zero Hunger", 
SDGt022,2,Resilient Agriculture,"Genetically Modified Food, Climate-smart agriculture, Genetically Modified Crops, Biofortification",
SDGt023,3,SDG 3,"Biomedical sciences, Rare disease, Orphan drugs, Orphanet, 9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome, Epidemiology, AIDS, Infection, Infectious diseases (medical specialty), COVID-19, Ebola, Influenza, Hepatitis, Mpox, Tuberculosis, Diabetes, Asthma, Arthritis, Cardiovascular disease, Osteoporosis, Cancer, Alzheimer's disease , Non-communicable Diseases, Maternal health, preconception, pregnancy, childbirth, Reproductive health, Complications of pregnancy, Vaccination, Vaccination policy, Vaccination schedule, MEDLINE, Health system, Health care, Health equity, Health human resources, Health insurance, Primary care, Universal Healthcare, Access to Medicine, Cancer, Cancer screening, Cancer treatment, Epidemiology of cancer, Oncology, Cancer research, Mental health, Mental disorder, Mental environment, Emotional resilience, Social stigma, Public health, Air contamination, Air pollution, Global Health Initiatives, Tropical disease, Tropical medicine, Lassa fever, Marburg virus, Dengue fever, Malaria, Sustainable Development Goal 3",acfcde9c-99c4-44f6-85d1-23d811e41bf6
SDGt024,3,Rare Diseases,"Biomedical sciences, Rare disease, Orphan drugs, Orphanet, 9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome",
