PILOT-id,PILOT,Concepts,ER-key,,,
PILOT001,Lanslides,"Landlide, Mudflow, Rockfall, Debris flow, Flood, Avalanche, Sector collapse, Washaway",10cadf45-7110-4c51-8110-30e3e3848c0f,,,
PILOT002a,OER_1,"Open educational resources, Educational technology, Capacity building, Continuing education, OpenCourseWare, Competency-based learning",f23b14f7-60d1-4786-9ca4-f8fdd56682ec,,,
PILOT002b,OER_2,"Open educational resources, Education policy, Law on the state education",9365e3e0-4914-41b5-822a-9e373e2fd3fa,,,
PILOT002c,OER_3,"Open educational resources, Social inclusion, Open format, Vulnerable adult",1ebf4034-deab-452e-a0e4-edf356eb2139,,,
PILOT002d,OER_4,"Open educational resources, Financial modeling, Long-term incentive plan, Innovation",50c9b223-8eec-49ee-b6cb-46631ed37dcf,,,
PILOT002e,OER_5,"Open educational resources, Educational research, Translational research, Multilateral Agreement on Investment, Multilingual Education, Public–private partnership, Knowledge sharing",f9d34ef5-0d04-4e2e-8fc7-ade59aef9801,,,
PILOT002f,OER_all,"Open educational resources, Financial modeling, Long-term incentive plan, Innovation, Social inclusion, Open format, Vulnerable adult, Education policy, Law on the state education, Educational technology, Capacity building, Continuing education, OpenCourseWare, Competency-based learning,Social inclusion, Open format, Vulnerable adult,Educational research, Translational research, Multilateral Agreement on Investment, Multilingual Education, Public–private partnership, Knowledge sharing",9b82e68d-e7ee-4d64-98b1-a75af9c7f138,,,
PILOT003,COP30,"Amazon rainforest,Indigenous peoples, Artificial intelligence, Sustainable Development Goals, Citizen science, Open science, Climate resilience",3e80057d-779a-4174-9c74-0ea0394d6ac6,,,
PILOT004,ELIAS,"Human migration, European migrant crisis,Refugee crisis,Climate migrant,Economic migrant,Migrant",71299589-2ba9-48af-9408-da0d3f704d5f,,,
PILOT005,AImov,"Artificial Intelligence,Gender",48b13409-cc9a-49f2-abb9-ad2f50db8915,,,
PILOT006,RaD,"Rare disease, Orphanet,9q34.3 deletion syndrome, Angelman syndrome, Dravet syndrome, Cornelia de Lange syndrome, Fragile X syndrome, Rett syndrome, Kabuki syndrome, Prader–Willi syndrome",e5ad292d-4cd9-460e-ac82-6e8fe0c650cc,,,
PILOT007a,OBIA 1,"Brazil (location), Artificial intelligence, Supercomputer, Sustainability,Energy",99f967a0-20fa-40aa-888f-67b203554d42,,,
PILOT007b,OBIA 2,"Brazil (location), Machine learning, Data center, High-performance computing, Sustainability measurement,Water",3b90568b-8d96-46bc-ae29-4b409e5a07df,,,
PILOT007c,OBIA 3,"Brazil (location), Large language model, Data center management, High-availability cluster, Sustainability accounting,Waste",ad8bfbf3-98ce-472d-8db3-42243ff610b5,,,
PILOT008,AIQuantum,"Quantum machine learning, Quantum neural network, Quantum natural language processing, Quantum computing, Quantum cognition",17cf7add-5fca-466e-be39-b080b96c57ef,,,
PILOT009,RAM,"Ethics of artificial intelligence, Regulation of artificial intelligence, AI safety, Sustainable innovation",8e64227b-c75f-4324-9852-1db235564a16,,,
PILOT010,SANDWATCH,"Small Island Developing States,Sustainable Development Goal 11,Alliance of Small Island States",e130bedd-96f8-4aab-a393-bf98813185c3,,,
PILOT011,LACeduc,"Artificial Intelligence,Latin America and the Caribbean, Education, Open educational resources,Education policy",6d612231-ffb0-4603-9e4a-5f3f3b8bc554,,,
PILOT012,Microplastic,"Artificial Intelligence,Latin America and the Caribbean, Microplastics, Marine ecosystems,Microparticle",b56b360b-6440-4428-b7f3-89a9f87e71a6,,,

